ingredient_id,ingredient_sv,ingredient_en,category,milk_free,gluten_free,vegan,selling_price,image,allergy_treatment
1,bönburgare,bean patty,2,1,1,1,40,bean.png,0
2,nötfärsburgare 100g,beef patty 100g,2,1,1,0,40,beef.png,0
3,nötfärsburgare 200g,beef patty 200g,2,1,1,0,60,beef.png,0
4,kycklingburgare,chicken patty,2,1,0,0,40,chicken.png,0
5,friterad halloumi,deep-fried halloumi,2,0,0,0,40,halloumi.png,0
6,fiskfilé,fish filet,2,1,0,0,40,fish.png,0
7,grillad aubergine,grilled eggplant,2,1,1,1,30,eggplant.png,0
8,hummer,lobster,2,1,1,0,80,lobster.png,0
9,pulled jackfruit,pulled jackfruit,2,1,1,1,40,jackfruit.png,0
10,pulled pork,pulled pork,2,1,1,0,40,pork.png,0
11,avocado,avocado,3,1,1,1,10,avocado.png,0
12,bacon,bacon,5,1,1,0,10,bacon.png,0
13,banan,banana,3,1,1,1,5,banana.png,0
14,löjrom,bleak caviar,5,1,1,0,50,fish.png,0
15,karamelliserad lök,candied onions,3,1,1,1,5,redonion.png,0
16,cheddar,cheddar cheese,5,0,1,0,10,halloumi.png,0
17,koriander,cilantro,3,1,1,1,5,cilantro.png,0
18,coleslaw,coleslaw,5,1,1,0,5,cabbage.png,0
19,friterade lökringar,deep-fried onion rings,5,1,0,1,15,onionring.png,0
20,stekt ägg,fried egg,5,1,1,0,10,friedegg.png,0
21,chèvre,goat cheese,5,0,1,0,10,goatcheese.png,0
22,jalapeño,jalapeño,5,1,1,1,5,jalapeno.png,0
23,kimchi,kimchi,3,1,1,1,10,kimchi.png,0
24,krispsallad,lettuce,3,1,1,1,5,salad.png,0
25,svampstuvning,mushroom stew,3,0,1,0,15,mushroom.png,0
26,pepper jack-ost,pepper jack cheese,5,0,1,0,10,pepperjack.png,0
27,inlagd gurka,pickled cucumber,3,1,1,1,5,pickle.png,0
28,inlagd rödlök,pickled red onion,3,1,1,1,5,redonion.png,0
29,rå rödlök,raw red onion,3,1,1,1,5,redonion.png,0
30,rå gul lök,raw yellow onion,3,1,1,1,5,onion.png,0
31,salami,salami,5,1,1,0,10,salami.png,0
32,surkål,sauerkraut,3,1,1,1,5,cabbage.png,0
33,tomat,tomato,3,1,1,1,5,tomato.png,0
34,vegansk ost,vegan cheese,5,1,1,1,10,vegancheese.png,1
35,aioli,aioli,4,1,1,0,5,mayo.png,0
36,ajvar,ajvar,4,1,1,1,5,ajvar.png,0
37,barbecuesås,barbecue sauce,4,1,1,1,0,barbeque.png,0
38,klassisk hamburgarsås,classic hamburger dressing,4,1,1,0,5,hamburgersauce.png,0
39,dijonsås,dijon sauce,4,1,1,0,5,mustard.png,0
40,guacamole,guacamole,4,1,1,1,10,avocado.png,0
41,hot salsa,hot salsa,4,1,1,1,5,tomate_sauce.png,0
42,hummus,hummus,4,1,1,1,10,bean.png,0
43,ketchup,ketchup,4,1,1,1,0,ketchup.png,0
44,majonnäs,mayonnaise,4,1,1,0,5,mayo.png,0
45,senap,mustard,4,1,1,1,0,mustard.png,0
46,sriracha,sriracha,4,1,1,1,0,sriracha.png,0
47,teriyakisås,teriyaki sauce,4,1,1,1,5,teriyaki.png,0
48,tryffelmajonnäs,truffle mayonnaise,4,1,1,0,5,mushroom.png,0
49,tzatziki,tzatziki,4,0,1,0,5,cucumber.png,0
50,brioche,brioche,1,0,0,0,10,brioche.png,0
51,glutenfritt bröd,gluten free bread,1,1,1,1,10,gluten_free.png,1
52,veganskt bröd,vegan bun,1,0,0,1,10,veganbun.png,1
53,fullkornsbrioche,whole wheat brioche,1,0,0,0,10,wholewheat.png,0
54,nachochips,nachos,6,1,0,1,20,nachos.png,0
55,potatisstrips,potato fries,6,1,1,1,20,fries.png,0
56,sötpotatisstrips,sweet potato fries,6,1,1,1,30, sweetpotatofries.png,0
57,chokladmilkshake,chocolate milk shake,7,0,1,0,40,chocmilkshake.png,0
58,pucko,pucko,7,0,1,0,25,pucko.png,0
59,läsk,soda,7,1,1,1,20,soda.png,0
60,jordgubbsmilkshake,strawberry milk shake,7,0,1,0,40,strawberrymilkshake.png,0
61,vegansk mango lassi,vegan mango lassi,7,1,1,1,40,mangolassi.png,1
